EURING Code,Current Name,Date Updated,Notes,Old name,Current IOC code
11620,Monticola saxatilis,02/06/2008,,Monticola saxatilis,31438
11630,Monticola cinclorhyncha,02/06/2008,,Monticola cinclorhyncha,31413
11640,Monticola gularis,02/06/2008,,Monticola gularis,31415
11650,Monticola rufiventris,02/06/2008,,Monticola rufiventris,31417
11660,Monticola solitarius,02/06/2008,,Monticola solitarius,31439
11670,Myophonus caeruleus,02/06/2008,,Myiophoneus caeruleus,31188
11680,Zoothera mollissima,02/06/2008,,Zoothera mollissima,30037
11690,Zoothera dixoni,02/06/2008,,Zoothera dixoni,30036
11700,Zoothera aurea,02/06/2008,,Zoothera dauma,30052
11710,Geokichla sibirica,02/06/2008,,Zoothera sibirica,30088
11720,Ixoreus naevius,02/06/2008,,Zoothera naevia,29930
11730,Ridgwayia pinicola,02/06/2008,,Zoothera pinicola,29935
11740,Zoothera terrestris,02/06/2008,,Cichlopasser terrestris,30067
11750,Hylocichla mustelina,02/06/2008,,Hylocichla mustelina,29948
11760,Catharus guttatus,02/06/2008,,Catharus guttatus,29999
11770,Catharus ustulatus,02/06/2008,,Catharus ustulatus,29986
11780,Catharus minimus,02/06/2008,,Catharus minimus,30026
11781,Catharus minimus minimus,02/06/2008,,Catharus minimus minimus,30027
11782,Catharus bicknelli,02/06/2008,,Catharus minimus bicknelli,30029
11790,Catharus fuscescens,02/06/2008,,Catharus fuscescens,30031
11800,Catharus aurantiirostris,02/06/2008,,Catharus aurantiirostris,29957
11810,Catharus occidentalis,02/06/2008,,Catharus occidentalis,30011
11820,Turdus menachensis,02/06/2008,,Turdus menachensis,30237
11830,Turdus unicolor,02/06/2008,,Turdus unicolor,30247
11840,Turdus cardis,02/06/2008,,Turdus cardis,30250
11850,Turdus albocinctus,02/06/2008,,Turdus albocinctus,30332
11860,Turdus torquatus,02/06/2008,,Turdus torquatus,30317
11861,Turdus torquatus torquatus,02/06/2008,,Turdus torquatus torquatus,30318
11862,Turdus torquatus alpestris,02/06/2008,,Turdus torquatus alpestris,30319
11870,Turdus merula,02/06/2008,,Turdus merula,30228
11871,Turdus merula merula,02/06/2008,,Turdus merula merula,30229
11872,Turdus merula cabrerae,02/06/2008,,Turdus merula cabrerae,30231
11873,Turdus merula azorensis,15/11/2015,,Turdus merula azorensis,30230
11880,Turdus rubrocanus,02/06/2008,,Turdus rubrocanus,30329
11890,Turdus kessleri,02/06/2008,,Turdus kessleri,30315
11900,Turdus chrysolaus,02/06/2008,,Turdus chrysolaus,30256
11910,Turdus celaenops,02/06/2008,,Turdus celaenops,30259
11920,Turdus feae,02/06/2008,,Turdus feae,30255
11930,Turdus hortulorum,02/06/2008,,Turdus hortulorum,30251
11940,Turdus pallidus,02/06/2008,,Turdus pallidus,30254
11950,Turdus obscurus,02/06/2008,,Turdus obscurus,30253
11960,Turdus naumanni/eunomus,02/06/2008,,Turdus naumanni,NA
11961,Turdus naumanni,02/06/2008,,Turdus naumanni naumanni,30327
11962,Turdus eunomus,02/06/2008,,Turdus naumanni eunomus,30325
11970,Turdus ruficollis,02/06/2008,,Turdus ruficollis,30323
11971,Obsolete code,02/06/2008,Duplicated species ? use 11970,Turdus ruficollis ruficollis,NA
11972,Turdus atrogularis,02/06/2008,,Turdus ruficollis atrogularis,30321
11980,Turdus pilaris,02/06/2008,,Turdus pilaris,30316
11990,Turdus mupinensis,02/06/2008,,Turdus mupinensis,30165
12000,Turdus philomelos,02/06/2008,,Turdus philomelos,30166
12001,Turdus philomelos philomelos,02/06/2008,,Turdus philomelos philomelos,30169
12002,Turdus philomelos clarkei,02/06/2008,,Turdus philomelos clarkei,30168
12010,Turdus iliacus,02/06/2008,,Turdus iliacus,30225
12011,Turdus iliacus iliacus,02/06/2008,,Turdus iliacus iliacus,30227
12012,Turdus iliacus coburni,02/06/2008,,Turdus iliacus coburni,30226
12020,Turdus viscivorus,02/06/2008,,Turdus viscivorus,30171
12030,Turdus migratorius,02/06/2008,,Turdus migratorius,30338
12040,Turdus rufopalliatus,02/06/2008,,Turdus rufopalliatus,30464
12050,Turdus grayi,02/06/2008,,Turdus grayi,30489
12060,Turdus albicollis,02/06/2008,,Turdus albicollis,30456
12069,Turdus sp.,02/06/2008,,Turdus sp.,NA
12070,Turdus plumbeus,02/06/2008,,Mimocichla plumbea,30351
12080,Enicurus scouleri,02/06/2008,,Enicurus scouleri,31159
12090,Enicurus schistaceus,02/06/2008,,Enicurus schistaceus,31163
12100,Enicurus leschenaulti,02/06/2008,,Enicurus leschenaulti,31169
12110,Enicurus maculatus,02/06/2008,,Enicurus maculatus,31164
12120,Cettia castaneocoronata,02/06/2008,,Tesia castaneocoronata,25340
12130,Urosphena squameiceps,02/06/2008,,Cettia squameiceps,25344
12140,Horornis diphone,02/06/2008,,Cettia diphone,25275
12150,Horornis fortipes,02/06/2008,,Cettia fortipes,25294
12160,Cettia major,02/06/2008,,Cettia major,25333
12170,Horornis flavolivaceus,02/06/2008,,Cettia flavolivacea,25305
12180,Horornis acanthizoides,02/06/2008,,Cettia acanthizoides,25302
12190,Cettia brunnifrons,02/06/2008,,Cettia brunnifrons,25336
12200,Cettia cetti,02/06/2008,,Cettia cetti,25329
12210,Locustella thoracica,02/06/2008,,Bradypterus thoracicus,25949
12220,Locustella major,02/06/2008,,Bradypterus major,25918
12230,Locustella tacsanowskia,02/06/2008,,Bradypterus taczanowskius,25929
12240,Locustella luteoventris,02/06/2008,,Bradypterus luteoventris,25921
12250,Curruca buryi,02/06/2008,,Parisoma buryi,26885
12260,Cisticola juncidis,02/06/2008,,Cisticola juncidis,26302
12270,Prinia gracilis,02/06/2008,,Prinia gracilis,26421
12280,Prinia inornata,02/06/2008,,Prinia inornata,26470
12290,Prinia crinigera,02/06/2008,,Prinia criniger,26378
12300,Prinia atrogularis,02/06/2008,,Prinia atrogularis,26395
12310,Scotocerca inquieta,02/06/2008,,Scotocerca inquieta,25354
12320,Rhopophilus pekinensis,02/06/2008,,Rhopophilus pekinensis,26965
12330,Helopsaltes certhiola,02/06/2008,,Locustella certhiola,25897
12340,Helopsaltes ochotensis,02/06/2008,,Locustella ochotensis,25903
12350,Locustella lanceolata,02/06/2008,,Locustella lanceolata,25907
12360,Locustella naevia,02/06/2008,,Locustella naevia,25924
12370,Locustella fluviatilis,02/06/2008,,Locustella fluviatilis,25913
12380,Locustella luscinioides,02/06/2008,,Locustella luscinioides,25914
12390,Helopsaltes fasciolatus,02/06/2008,,Locustella fasciolata,25890
12399,Locustella/Helopsaltes sp.,02/06/2008,,Locustella sp.,NA
